//  Timestamp: 1815053287982677
//  RequestID: null
//  OwnID: 8162cbf0-bc8c-4725-88ad-d4dfaae8326f
//  CallerID: null
//  Qualifying methodname: de.uka.ipd.sdq.ByCounter.example.ByCounterExample.dummyMethodToBeInstrumented(Ljava/lang/String;F)I
//  Opcode counts:
NOP; 0
ACONST_NULL; 0
ICONST_M1; 0
ICONST_0; 0
ICONST_1; 0
ICONST_2; 0
ICONST_3; 0
ICONST_4; 0
ICONST_5; 0
LCONST_0; 0
LCONST_1; 0
FCONST_0; 1
FCONST_1; 0
FCONST_2; 1
DCONST_0; 0
DCONST_1; 0
BIPUSH; 0
SIPUSH; 0
LDC; 0
null; 0
null; 0
ILOAD; 1
LLOAD; 0
FLOAD; 2
DLOAD; 0
ALOAD; 1
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
ACC_SYNCHRONIZED; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
IALOAD; 0
LALOAD; 0
FALOAD; 0
DALOAD; 0
AALOAD; 0
BALOAD; 0
CALOAD; 0
SALOAD; 0
ISTORE; 1
LSTORE; 0
FSTORE; 0
DSTORE; 0
ASTORE; 0
null; 0
null; 0
null; 0
null; 0
null; 0
ACC_BRIDGE; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
null; 0
IASTORE; 0
LASTORE; 0
FASTORE; 0
DASTORE; 0
AASTORE; 0
BASTORE; 0
CASTORE; 0
SASTORE; 0
POP; 0
POP2; 0
DUP; 0
DUP_X1; 0
DUP_X2; 0
DUP2; 0
DUP2_X1; 0
DUP2_X2; 0
SWAP; 0
IADD; 0
LADD; 0
FADD; 0
DADD; 0
ISUB; 0
LSUB; 0
FSUB; 0
DSUB; 0
IMUL; 0
LMUL; 0
FMUL; 1
DMUL; 0
IDIV; 0
LDIV; 0
FDIV; 0
DDIV; 0
IREM; 0
LREM; 0
FREM; 0
DREM; 0
INEG; 0
LNEG; 0
FNEG; 0
DNEG; 0
ISHL; 0
LSHL; 0
ISHR; 0
LSHR; 0
IUSHR; 0
LUSHR; 0
IAND; 0
LAND; 0
IOR; 0
LOR; 0
IXOR; 0
LXOR; 0
IINC; 0
I2L; 0
I2F; 0
I2D; 0
L2I; 0
L2F; 0
L2D; 0
F2I; 1
F2L; 0
F2D; 0
D2I; 0
D2L; 0
D2F; 0
I2B; 0
I2C; 0
I2S; 0
LCMP; 0
FCMPL; 1
FCMPG; 0
DCMPL; 0
DCMPG; 0
IFEQ; 0
IFNE; 0
IFLT; 0
IFGE; 0
IFGT; 0
IFLE; 1
IF_ICMPEQ; 0
IF_ICMPNE; 0
IF_ICMPLT; 0
IF_ICMPGE; 0
IF_ICMPGT; 0
IF_ICMPLE; 0
IF_ACMPEQ; 0
IF_ACMPNE; 0
GOTO; 0
JSR; 0
RET; 0
TABLESWITCH; 0
LOOKUPSWITCH; 0
IRETURN; 1
LRETURN; 0
FRETURN; 0
DRETURN; 0
ARETURN; 0
RETURN; 0
GETSTATIC; 1
PUTSTATIC; 0
GETFIELD; 0
PUTFIELD; 0
INVOKEVIRTUAL; 1
INVOKESPECIAL; 0
INVOKESTATIC; 0
INVOKEINTERFACE; 0
INVOKEDYNAMIC; 0
NEW; 0
NEWARRAY; 0
ANEWARRAY; 0
ARRAYLENGTH; 0
ATHROW; 0
CHECKCAST; 0
INSTANCEOF; 0
MONITORENTER; 0
MONITOREXIT; 0
null; 0
MULTIANEWARRAY; 0
IFNULL; 0
IFNONNULL; 0
null; 0
null; 0
//  Method counts:
//  java.io.PrintStream.println(Ljava/lang/String;)V; 1
//  Array constructions:
